Array-Ordering,Runs,N,Time
RANDOM,100,2500,4.81896256
ORDERED,100,2500,0.00637838
PARTIALLY-ORDERED,100,2500,3.57540998
REVERSE-ORDERED,100,2500,9.40005659
RANDOM,50,5000,18.6252001
ORDERED,50,5000,0.01175076
PARTIALLY-ORDERED,50,5000,14.07222332
REVERSE-ORDERED,50,5000,37.980928399999996
RANDOM,20,10000,75.6887229
ORDERED,20,10000,0.02348335
PARTIALLY-ORDERED,20,10000,57.674806149999995
REVERSE-ORDERED,20,10000,159.17852935000002
RANDOM,10,20000,324.2387917
ORDERED,10,20000,0.0476916
PARTIALLY-ORDERED,10,20000,250.87678340000002
REVERSE-ORDERED,10,20000,735.5017625
RANDOM,5,40000,1533.9784
ORDERED,5,40000,0.10221659999999999
PARTIALLY-ORDERED,5,40000,1208.7346917999998
REVERSE-ORDERED,5,40000,3611.9991336
RANDOM,3,80000,7202.299722
ORDERED,3,80000,0.23293133333333335
PARTIALLY-ORDERED,3,80000,5138.769402333333
REVERSE-ORDERED,3,80000,11378.536306
RANDOM,2,160000,24507.034416
ORDERED,2,160000,0.70675
PARTIALLY-ORDERED,2,160000,19449.845125
REVERSE-ORDERED,2,160000,48501.4422295
