Method,Array-Ordering,Runs,N,Time
QuickSelect,RANDOM,100,2560,1.3005162300000002
QuickSelect,ORDERED,100,2560,0.81353793
QuickSelect,PARTIALLY-ORDERED,100,2560,0.67415919
QuickSelect,REVERSE-ORDERED,100,2560,0.56862335
SlowSelect,RANDOM,100,2560,3.7618880000000003
SlowSelect,ORDERED,100,2560,3.0504487499999997
SlowSelect,PARTIALLY-ORDERED,100,2560,2.84635049
SlowSelect,REVERSE-ORDERED,100,2560,2.86738959
QuickSelect,RANDOM,50,5120,0.56972908
QuickSelect,ORDERED,50,5120,0.5600217399999999
QuickSelect,PARTIALLY-ORDERED,50,5120,0.52106676
QuickSelect,REVERSE-ORDERED,50,5120,0.52786986
SlowSelect,RANDOM,50,5120,11.36785504
SlowSelect,ORDERED,50,5120,12.03079994
SlowSelect,PARTIALLY-ORDERED,50,5120,11.71999574
SlowSelect,REVERSE-ORDERED,50,5120,11.41704252
QuickSelect,RANDOM,20,10240,0.69544595
QuickSelect,ORDERED,20,10240,0.69692695
QuickSelect,PARTIALLY-ORDERED,20,10240,0.8109602499999999
QuickSelect,REVERSE-ORDERED,20,10240,0.62883545
SlowSelect,RANDOM,20,10240,47.5683311
SlowSelect,ORDERED,20,10240,47.1487417
SlowSelect,PARTIALLY-ORDERED,20,10240,47.521145849999996
SlowSelect,REVERSE-ORDERED,20,10240,47.1505896
QuickSelect,RANDOM,10,20480,1.0803834
QuickSelect,ORDERED,10,20480,0.9702126
QuickSelect,PARTIALLY-ORDERED,10,20480,1.0698415000000001
QuickSelect,REVERSE-ORDERED,10,20480,1.0473666
SlowSelect,RANDOM,10,20480,209.2004832
SlowSelect,ORDERED,10,20480,213.37423330000001
SlowSelect,PARTIALLY-ORDERED,10,20480,215.62822930000002
SlowSelect,REVERSE-ORDERED,10,20480,221.5721913
QuickSelect,RANDOM,5,40960,2.0797586
QuickSelect,ORDERED,5,40960,1.8525417999999998
QuickSelect,PARTIALLY-ORDERED,5,40960,1.6127334000000002
QuickSelect,REVERSE-ORDERED,5,40960,1.817558
SlowSelect,RANDOM,5,40960,1064.8386166
SlowSelect,ORDERED,5,40960,1044.8203170000002
SlowSelect,PARTIALLY-ORDERED,5,40960,1079.2618582
SlowSelect,REVERSE-ORDERED,5,40960,1060.8156002
QuickSelect,RANDOM,3,81920,3.3227363333333333
QuickSelect,ORDERED,3,81920,3.216958333333333
QuickSelect,PARTIALLY-ORDERED,3,81920,3.2096393333333335
QuickSelect,REVERSE-ORDERED,3,81920,3.813653
SlowSelect,RANDOM,3,81920,4258.280680333333
SlowSelect,ORDERED,3,81920,3786.806708666667
SlowSelect,PARTIALLY-ORDERED,3,81920,3965.445361
SlowSelect,REVERSE-ORDERED,3,81920,3614.6106806666667
QuickSelect,RANDOM,2,163840,8.1028955
QuickSelect,ORDERED,2,163840,4.8310425
QuickSelect,PARTIALLY-ORDERED,2,163840,7.102125
QuickSelect,REVERSE-ORDERED,2,163840,5.5994175
SlowSelect,RANDOM,2,163840,15019.3842285
SlowSelect,ORDERED,2,163840,14246.705895
SlowSelect,PARTIALLY-ORDERED,2,163840,14812.790625
SlowSelect,REVERSE-ORDERED,2,163840,14263.0708335
