sorter,instrumented,insurance,nocopy,nWords,wordLength,nRuns,rawTime,normTime,hitsMean,hitsStdev,hitsNorm,copies,copiesNorm,swapsMean,swapsStdev,swapsNorm,comparesMean,comparesStdev,comparesNorm,sortAlgo
MergeSort:,False,False,False,16000,22865,499,3.660953875751503,3.045043710337698,,,,,,,,,,,,MergeSort
MergeSort: with no copy,False,False,True,16000,22865,499,3.466523476953908,2.8833238190059527,,,,,,,,,,,,MergeSort
MergeSort: with insurance comparison,False,True,False,16000,22865,499,3.4743856192384768,2.889863253187841,,,,,,,,,,,,MergeSort
MergeSort: with insurance comparison with no copy,False,True,True,16000,22865,499,3.459574250501002,2.87754371386934,,,,,,,,,,,,MergeSort
QuickSort dual pivot,False,False,False,16000,22865,499,3.19391026252505,2.656574402836066,,,,,,,,,,,,QuickSort
Heapsort,False,False,False,16000,22865,499,4.452124889779559,3.703109996292501,,,,,,,,,,,,HeapSort
MergeSort:,False,False,False,32000,22865,231,7.388345255411256,2.845517064531628,,,,,,,,,,,,MergeSort
MergeSort: with no copy,False,False,True,32000,22865,231,7.244714653679654,2.7901997622010577,,,,,,,,,,,,MergeSort
MergeSort: with insurance comparison,False,True,False,32000,22865,231,7.392812554112554,2.8472375816768705,,,,,,,,,,,,MergeSort
MergeSort: with insurance comparison with no copy,False,True,True,32000,22865,231,7.305471415584416,2.8135993729134925,,,,,,,,,,,,MergeSort
QuickSort dual pivot,False,False,False,32000,22865,231,6.701167943722943,2.5808604060821683,,,,,,,,,,,,QuickSort
Heapsort,False,False,False,32000,22865,231,8.955328835497836,3.4490187097358134,,,,,,,,,,,,HeapSort
MergeSort:,False,False,False,64000,81546,108,17.79157915740741,3.190214725715712,,,,,,,,,,,,MergeSort
MergeSort: with no copy,False,False,True,64000,81546,108,17.83733136111111,3.19841857050645,,,,,,,,,,,,MergeSort
MergeSort: with insurance comparison,False,True,False,64000,81546,108,16.273010787037038,2.917919662174673,,,,,,,,,,,,MergeSort
MergeSort: with insurance comparison with no copy,False,True,True,64000,81546,108,16.649287842592592,2.9853900420078485,,,,,,,,,,,,MergeSort
QuickSort dual pivot,False,False,False,64000,81546,108,14.966632851851852,2.6836725450803653,,,,,,,,,,,,QuickSort
Heapsort,False,False,False,64000,81546,108,22.27507212037037,3.994151528994477,,,,,,,,,,,,HeapSort
MergeSort:,False,False,False,128000,81546,50,39.96263408,3.352066202437849,,,,,,,,,,,,MergeSort
MergeSort: with no copy,False,False,True,128000,81546,50,36.16828826,3.0337964317785437,,,,,,,,,,,,MergeSort
MergeSort: with insurance comparison,False,True,False,128000,81546,50,35.50602002,2.9782453642536177,,,,,,,,,,,,MergeSort
MergeSort: with insurance comparison with no copy,False,True,True,128000,81546,50,35.05177326,2.940143140843751,,,,,,,,,,,,MergeSort
QuickSort dual pivot,False,False,False,128000,81546,50,30.47835502,2.5565247667088697,,,,,,,,,,,,QuickSort
Heapsort,False,False,False,128000,81546,50,45.317611580000005,3.801241776215871,,,,,,,,,,,,HeapSort
MergeSort:,False,False,False,256000,303172,24,84.82087308333332,3.3420982680683107,,,,,,,,,,,,MergeSort
MergeSort: with no copy,False,False,True,256000,303172,24,80.3402985,3.165555395888755,,,,,,,,,,,,MergeSort
MergeSort: with insurance comparison,False,True,False,256000,303172,24,80.924425125,3.188571058316884,,,,,,,,,,,,MergeSort
MergeSort: with insurance comparison with no copy,False,True,True,256000,303172,24,88.53382966666668,3.488395580457205,,,,,,,,,,,,MergeSort
QuickSort dual pivot,False,False,False,256000,303172,24,71.08743579166666,2.800975601929159,,,,,,,,,,,,QuickSort
Heapsort,False,False,False,256000,303172,24,104.783281125,4.128653828242523,,,,,,,,,,,,HeapSort
MergeSort:,True,False,False,16000,22865,499,3.8494710621242487,3.201845214026966,450836.0,340.0,2.911,189312.0,1.222,14018.0,101.0,0.091,204954.0,100.0,1.323,MergeSort
MergeSort: with no copy,True,False,True,16000,22865,499,3.762586058116233,3.129577536269632,450836.0,340.0,2.911,189312.0,1.222,14018.0,101.0,0.091,204954.0,100.0,1.323,MergeSort
MergeSort: with insurance comparison,True,True,False,16000,22865,499,3.7852686432865728,3.1484440573052086,450836.0,340.0,2.911,189312.0,1.222,14018.0,101.0,0.091,204954.0,100.0,1.323,MergeSort
